date,site_number,site_name,length,treatment,time,water_elevation,weather,water_temp,visibility_feet,visibility_meters,survey_method,video_or_observer,lfr_count,wr_count,sr_count,fr_count,trout_count,adult_predator_fish,other_juvenile_fish,comments,calculated_flow
6/8/2016,204,Bourbon,301,control,13:50:00,NA,2,58,6,1.828710759,snorkel downstream,observer,475,0,0,840,98,0,2,2 TSS,8050
6/14/2016,206,Clear Creek,221,control,10:10:00,NA,2,61,10,3.047851265,snorkel downstream,observer,1,0,0,68,74,0,1659,"9 TSS, 1600 HH, 50 SS",8790
6/14/2016,208,Wyndham,458,control,11:45:00,NA,2,55,5,1.523925632,snorkel downstream,observer,0,0,0,0,39,0,0,NA,8080
6/29/2016,204,Bourbon,301,control,9:55:00,NA,1,53,3.5,1.066747943,snorkel downstream,observer,0,0,0,0,150,0,0,NA,9010
6/29/2016,206,Clear Creek,221,control,11:00:00,NA,1,60,6,1.828710759,snorkel downstream,observer,0,0,0,8,300,0,5525,"4000 HARDHE, 1500 SACSUC, 25 THSPST",9020
7/13/2016,205,Lake California,1623,baseline,10:00:00,NA,1,55,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,155,"65 PM, 90 SS",10500
7/21/2016,207,Shea Island,683,baseline,10:00:00,NA,1,56,5,1.523925632,snorkel downstream,observer,7,0,0,0,10,0,200,"100 HH, 100 SS",10517
7/28/2016,204,Bourbon,301,control,11:15:00,NA,1,54,5.5,1.676318196,snorkel downstream,observer,0,0,0,0,84,0,0,NA,10554
7/28/2016,206,Clear Creek,221,control,12:50:00,NA,1,68,10,3.047851265,snorkel downstream,observer,11,0,0,0,111,27,3278,"1800 HH, 770 SS, 3 TP, 705 PM 27 AdultPM/HH",10554
7/28/2016,208,Wyndham,458,control,10:00:00,NA,1,53,6,1.828710759,snorkel downstream,observer,0,0,0,0,414,0,2,2 TSS,10554
8/12/2016,217,Reading Island,3526,impact,9:00:00,NA,1,70,2,0.609570253,snorkel downstream,observer,0,0,0,0,0,2,0,"2 LarBass, Kayak survey",10558
8/15/2016,204,Bourbon,301,control,10:45:00,NA,1,53,5,1.523925632,snorkel downstream,observer,5,0,0,0,50,0,1,1 TSS,10530
8/15/2016,206,Clear Creek,221,control,11:50:00,NA,1,62,8,2.438281012,snorkel downstream,observer,0,0,0,25,65,0,2002,"1000 HH, 1000 SS 2 TSS",10530
8/16/2016,213,Kutras Lake,NA,baseline,11:25:00,NA,1,55,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,0,NA,10483
8/16/2016,208,Wyndham,458,control,10:00:00,NA,1,53,6,1.828710759,snorkel downstream,observer,0,0,0,0,64,0,0,visibility in pool very poor,10483
8/17/2016,209,Anderson River Park,325,impact,9:45:00,NA,1,69,4,1.219140506,snorkel downstream,video,0,0,0,0,0,0,0,Kayak survey too much vegetation 82 Bass,10521
8/23/2016,204,Bourbon,301,control,12:20:00,NA,1,54,7,2.133495885,snorkel downstream,observer,17,0,0,0,24,0,0,NA,10513
8/23/2016,206,Clear Creek,221,control,12:00:00,NA,1,64,10,3.047851265,snorkel downstream,observer,10,0,0,0,9,0,994,900 HH 80 SS 14 PM,10513
8/23/2016,215,Cow Creek,467,impact,11:00:00,NA,1,55,8,2.438281012,snorkel downstream,observer,2,0,0,4,10,0,100,100 PM Potential impact site,10513
8/24/2016,213,Kutras Lake,NA,baseline,11:00:00,NA,1,53,8,2.438281012,snorkel downstream,observer,0,0,0,0,99,0,0,NA,10492
8/25/2016,205,Lake California,1623,baseline,10:00:00,NA,1,55,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,300,"200 PM, 100 SS",10400
9/1/2016,213,Kutras Lake,NA,baseline,11:15:00,NA,1,54,8,2.438281012,snorkel downstream,observer,0,0,0,0,20,0,0,NA,10039
9/8/2016,204,Bourbon,301,control,13:55:00,NA,1,55,8,2.438281012,snorkel downstream,observer,18,1,0,0,35,0,0,NA,9546
9/8/2016,206,Clear Creek,221,control,13:05:00,NA,1,64,10,3.047851265,snorkel downstream,observer,17,0,0,0,18,0,1069,"730 HH, 192 SS, 132 PM, 15 tule P.",9546
9/8/2016,208,Wyndham,458,control,11:40:00,NA,1,54,8,2.438281012,snorkel downstream,observer,1,0,0,0,37,0,0,NA,9546
9/15/2016,204,Bourbon,301,control,13:00:00,NA,1,55,10,3.047851265,snorkel downstream,observer,0,1,0,65,188,1,5,"1 adult PM, 5 HH",9041
9/15/2016,206,Clear Creek,221,control,13:50:00,NA,1,60,10,3.047851265,snorkel downstream,observer,47,0,0,21,20,0,1340,"685 HH, 500 PM, 150 SS, 5 Tule P.",9041
9/15/2016,208,Wyndham,458,control,10:15:00,NA,1,54,8,2.438281012,snorkel downstream,observer,2,0,0,0,90,0,0,NA,9041
9/22/2016,205,Lake California,1623,baseline,10:00:00,NA,1,53,7,2.133495885,snorkel downstream,observer,1,0,0,0,8,0,85,"81 PM, 4 SS",8415
9/22/2016,211,Rio Vista,370,impact,13:00:00,NA,1,57,5,1.523925632,snorkel downstream,observer,0,0,0,0,0,0,62,"55 HH, 1 SS, 6 TSS",8415
9/27/2016,204,Bourbon,301,control,12:00:00,NA,1,52,10,3.047851265,snorkel downstream,observer,82,2,0,1,40,10,0,10 adult RT,7975
9/27/2016,206,Clear Creek,221,control,13:20:00,NA,1,54,10,3.047851265,snorkel downstream,observer,0,0,0,10,14,0,856,"545 HH, 264 PM, 32 SS, 10 TSS, 5 Tule P.",7975
9/27/2016,208,Wyndham,458,control,10:30:00,NA,1,52,10,3.047851265,snorkel downstream,observer,1,2,0,0,114,0,0,NA,7975
10/11/2016,204,Bourbon,301,control,11:20:00,NA,1,54,10,3.047851265,snorkel downstream,observer,0,8,0,115,116,0,0,1 adult female FR salmon,7012
10/11/2016,206,Clear Creek,221,control,12:15:00,NA,1,58,10,3.047851265,snorkel downstream,observer,0,1,0,20,0,0,137,"100PM, 2 SS, 30 HH, 5 Tule P.",7012
10/11/2016,208,Wyndham,458,control,10:00:00,NA,1,52,8,2.438281012,snorkel downstream,observer,0,31,0,0,53,0,0,NA,7012
10/27/2016,204,Bourbon,301,control,12:00:00,NA,4,53,6,1.828710759,snorkel downstream,observer,1,0,0,45,86,0,0,1 adult trout,5535
10/27/2016,206,Clear Creek,221,control,12:45:00,NA,4,58,2.5,0.761962816,snorkel downstream,observer,0,0,0,0,1,0,9,"6 PM, 2 TSS, 1 SS",5535
10/27/2016,208,Wyndham,458,control,10:35:00,NA,4,53,10,3.047851265,snorkel downstream,observer,2,0,0,0,56,0,0,"2 adult trout, 2 adult FR salmon",5535
11/15/2016,213,Kutras Lake,NA,baseline,12:20:00,NA,3,53,8,2.438281012,snorkel downstream,observer,0,0,0,0,1,0,0,NA,5003
11/15/2016,210,Painters,290,impact,13:05:00,NA,3,53,8,2.438281012,snorkel downstream,observer,1,10,0,0,0,0,0,NA,5003
11/17/2016,204,Bourbon,301,control,13:06:00,NA,1,54,9,2.743066138,snorkel downstream,observer,0,0,0,0,87,0,0,NA,5040
11/17/2016,206,Clear Creek,221,control,12:25:00,NA,1,55,10,3.047851265,snorkel downstream,observer,9,1,0,0,1,0,735,"510 HH, 155 PM, 50 SS, 20 Tule P.",5040
11/17/2016,208,Wyndham,458,control,10:55:00,NA,1,54,9,2.743066138,snorkel downstream,observer,0,0,0,0,2,0,0,adult trout,5040
11/29/2016,204,Bourbon,301,control,13:30:00,NA,1,53,9,2.743066138,snorkel downstream,observer,1,0,0,0,62,0,0,NA,5035
11/29/2016,206,Clear Creek,221,control,12:55:00,NA,1,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,360,"340 HH, 20 PM",5035
11/29/2016,208,Wyndham,458,control,11:20:00,NA,1,53,9,2.743066138,snorkel downstream,observer,0,0,0,0,5,0,2,2 TSS,5035
12/20/2016,204,Bourbon,301,control,13:40:00,NA,3,51,10,3.047851265,snorkel downstream,observer,1,1,0,1,19,0,0,1 adult trout,5072
12/20/2016,206,Clear Creek,221,control,13:00:00,NA,3,48,10,3.047851265,snorkel downstream,observer,0,0,0,20,0,0,60,60HH,5072
12/20/2016,201,North Cypress,590,impact,10:35:00,NA,2,50,6,1.828710759,snorkel downstream,observer,0,0,0,0,1,0,0,adult steelhead,5072
12/20/2016,208,Wyndham,458,control,12:35:00,NA,2,51,10,3.047851265,snorkel downstream,observer,0,2,0,0,0,0,0,NA,5072
12/29/2016,201,North Cypress,590,impact,10:30:00,NA,1,51,NA,#VALUE!,snorkel downstream,observer,0,0,0,2,0,0,0,NA,1025
5/22/2017,210,Painters,290,impact,12:00:00,NA,1,55,2,0.609570253,snorkel downstream,observer,0,0,0,0,20,0,0,NA,13017
6/14/2017,203,Kapusta,291,NA,10:45:00,NA,1,56,5,1.523925632,snorkel downstream,observer,0,0,0,0,0,0,500,numerous juvenile suckers,10031
6/14/2017,214,Mainstem North,301,control,10:35:00,NA,1,56,6,1.828710759,snorkel downstream,observer,0,0,0,2,1,0,2,2 suckers,11679
6/14/2017,207,Shea Island,683,baseline,12:15:00,NA,1,56,6,1.828710759,snorkel downstream,observer,0,0,0,0,1,0,33,"10 TSS, 1 PM, 22 HH",10031
6/14/2017,207,Shea Island,683,baseline,12:20:00,NA,1,56,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,500,juvie suckers,10031
6/19/2017,204,Bourbon,301,control,11:25:00,NA,2,52,5,1.523925632,snorkel downstream,observer,0,0,0,10,53,0,4,4 STB,10303
6/19/2017,204,Bourbon,301,control,10:30:00,NA,1,54,4,1.219140506,snorkel downstream,observer,10,0,0,4,131,0,5,"1 BASS, 2 TSS, 2PM",10303
6/19/2017,206,Clear Creek,221,control,10:40:00,NA,2,54,3,0.914355379,snorkel downstream,observer,0,0,0,0,45,0,26,"6 HH, 20 WESMOS",10303
6/19/2017,201,North Cypress,590,impact,13:30:00,NA,1,53,3,0.914355379,snorkel downstream,observer,0,0,0,5,283,0,0,Top and bottom channels combined,10303
7/12/2017,204,Bourbon,301,control,13:45:00,1.4,1,52,6,1.828710759,snorkel downstream,observer,0,0,0,0,100,0,0,NA,10394
7/12/2017,201,North Cypress,590,impact,10:05:00,NA,1,50,4.5,1.371533069,snorkel downstream,observer,0,0,0,0,165,0,0,upper half of 201,10394
7/12/2017,201,North Cypress,590,impact,11:00:00,NA,1,50,4.5,1.371533069,snorkel downstream,observer,10,0,0,0,265,0,0,lower half of 201,10394
7/12/2017,208,Wyndham,458,control,11:50:00,1.3,1,51,5,1.523925632,snorkel downstream,observer,3,0,0,0,325,0,0,NA,10394
7/24/2017,205,Lake California,1623,baseline,11:00:00,NA,1,55,7,2.133495885,snorkel downstream,observer,0,0,0,0,0,0,0,NA,11328
7/24/2017,214,Mainstem North,301,control,12:30:00,NA,1,55,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,0,NA,11328
7/24/2017,216,Mainstem South,473,control,12:00:00,NA,1,57,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,22,12 HH 1 SS 8 SB 1 PM,11328
7/24/2017,211,Rio Vista,370,impact,10:30:00,NA,1,56,7,2.133495885,snorkel downstream,observer,0,0,0,0,0,0,432,291 TSS 61 HH 70 SS 10 TP,11328
7/25/2017,204,Bourbon,301,control,9:45:00,1.4,1,52,5,1.523925632,snorkel downstream,observer,0,0,0,0,120,0,0,NA,10666
7/25/2017,206,Clear Creek,221,control,9:45:00,1.2,1,61,10,3.047851265,snorkel downstream,observer,153,0,0,0,133,0,780,"500 HH, 100 PM, 110 SS, 30 TP, 40 TSS",10666
7/25/2017,201,North Cypress,590,impact,13:42:00,NA,1,54,7,2.133495885,snorkel downstream,observer,15,0,0,0,525,0,4,4 TSS,10666
7/25/2017,210,Painters,290,impact,11:10:00,NA,1,52,7,2.133495885,snorkel downstream,observer,0,0,0,0,900,0,0,NA,10666
7/25/2017,208,Wyndham,458,control,12:15:00,1.5,1,53,7,2.133495885,snorkel downstream,observer,0,0,0,0,530,0,2,2 TSS,10666
8/2/2017,207,Shea Island,683,baseline,10:40:00,NA,1,53,5,1.523925632,snorkel downstream,observer,0,0,0,0,575,0,0,NA,10666
8/7/2017,205,Lake California,1623,baseline,10:15:00,NA,1,55,5,1.523925632,snorkel downstream,observer,0,0,0,0,3,0,147,"140 sacsuc, 6 PM, 1 TP",11014
8/7/2017,214,Mainstem North,301,control,11:50:00,NA,1,55,10,3.047851265,snorkel downstream,observer,0,0,0,0,3,0,0,NA,11014
8/7/2017,216,Mainstem South,473,control,13:50:00,NA,1,57,8,2.438281012,snorkel downstream,observer,0,0,0,0,1,0,82,"1 STB, 3 TP, 24 SP, 53 SS, 1 rifscu",11014
8/7/2017,211,Rio Vista,370,impact,13:00:00,NA,1,59,4,1.219140506,snorkel downstream,observer,0,0,0,0,0,0,0,NA,11014
8/9/2017,201,North Cypress,590,impact,10:50:00,NA,1,53,8,2.438281012,snorkel downstream,observer,0,0,0,0,439,0,102,"2 TSS, 100 Sacsuc",10313
8/9/2017,210,Painters,290,impact,10:10:00,NA,1,53,8,2.438281012,snorkel downstream,observer,0,0,0,0,515,0,0,NA,10313
8/9/2017,208,Wyndham,458,control,12:40:00,15,1,54,8,2.438281012,snorkel downstream,observer,0,0,0,0,355,0,50,50 TSS,10313
8/10/2017,204,Bourbon,301,control,13:05:00,15,1,54,7.5,2.285888449,snorkel downstream,observer,0,0,0,0,79,0,0,1 adult RT,10509
8/10/2017,206,Clear Creek,221,control,11:45:00,14,1,66,10,3.047851265,snorkel downstream,observer,179,0,0,3,67,0,1087,"536 HH, 166 SS, 315 PM, 70 TP",10509
8/10/2017,207,Shea Island,683,baseline,10:30:00,NA,1,54,7.5,2.285888449,snorkel downstream,observer,31,0,0,0,257,0,102,"1 adult RT, 32 PM, 70 TSS",10509
8/21/2017,205,Lake California,1623,baseline,10:20:00,NA,2,55,9,2.743066138,snorkel downstream,observer,0,0,0,0,6,0,0,NA,11057
8/21/2017,214,Mainstem North,301,control,12:40:00,NA,1,54,9,2.743066138,snorkel downstream,observer,0,0,0,0,2,0,240,240 Sac Suckers,11057
8/22/2017,201,North Cypress,590,impact,10:30:00,NA,1,54,7,2.133495885,snorkel downstream,observer,0,0,0,0,234,0,3,3 TSS,10466
8/22/2017,210,Painters,290,impact,10:00:00,NA,1,54,7,2.133495885,snorkel downstream,observer,0,0,0,0,209,0,0,NA,10466
8/22/2017,208,Wyndham,458,control,12:45:00,15,1,54,7,2.133495885,snorkel downstream,observer,0,0,0,0,76,0,0,NA,10466
8/23/2017,216,Mainstem South,473,control,10:55:00,NA,1,56,9.5,2.895458702,snorkel downstream,observer,0,0,0,0,0,0,35,"24 HH, 9SS, 2 TSS",11199
8/23/2017,211,Rio Vista,370,impact,9:30:00,NA,1,56,7,2.133495885,snorkel downstream,observer,0,0,0,0,3,0,125,"97 HH, 27 TSS, 1 SS",11199
8/24/2017,204,Bourbon,301,control,13:00:00,NA,1,55,5,1.523925632,snorkel downstream,observer,5,0,0,0,59,0,0,NA,10644
8/24/2017,206,Clear Creek,221,control,11:35:00,NA,1,63,10,3.047851265,snorkel downstream,observer,408,0,0,0,39,0,1700,"500HH, 200SS, 300TP, 700PM",10644
8/24/2017,207,Shea Island,683,baseline,10:20:00,NA,1,53,5,1.523925632,snorkel downstream,observer,0,0,0,0,182,0,0,NA,10644
9/5/2017,204,Bourbon,301,control,10:00:00,14,1,53,8,2.438281012,snorkel downstream,observer,0,0,0,0,45,0,0,NA,9114
9/5/2017,206,Clear Creek,221,control,10:50:00,NA,1,62,10,3.047851265,snorkel downstream,observer,185,3,0,0,160,0,908,"618HH, 88SS, 197PM, 5TP",9114
9/5/2017,207,Shea Island,683,baseline,12:00:00,NA,1,54,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,42,"30HH, 12SS",9114
9/6/2017,205,Lake California,1623,baseline,9:45:00,NA,2,54.7,5,1.523925632,snorkel downstream,observer,0,0,0,0,6,0,0,NA,10107
9/6/2017,214,Mainstem North,301,control,12:15:00,NA,2,54.1,7,2.133495885,snorkel downstream,observer,0,0,0,0,0,0,0,NA,10107
9/6/2017,216,Mainstem South,473,control,14:06:00,NA,2,58.1,8,2.438281012,snorkel downstream,observer,0,0,0,0,5,0,0,NA,10107
9/7/2017,201,North Cypress,590,impact,10:20:00,NA,3,53,3,0.914355379,snorkel downstream,observer,0,0,0,0,19,0,0,NA,9131
9/7/2017,210,Painters,290,impact,10:15:00,NA,4,53,3,0.914355379,snorkel downstream,observer,0,0,0,0,22,0,0,NA,9131
9/7/2017,208,Wyndham,458,control,10:33:00,13,4,53,3,0.914355379,snorkel downstream,observer,0,0,0,0,6,0,0,NA,9131
9/18/2017,205,Lake California,1623,baseline,11:00:00,NA,3,52.1,9,2.743066138,snorkel downstream,observer,0,0,0,0,1,0,0,NA,10067
9/18/2017,214,Mainstem North,301,control,12:20:00,NA,2,52.4,9,2.743066138,snorkel downstream,observer,0,0,0,0,0,0,0,NA,10067
9/19/2017,204,Bourbon,301,control,10:10:00,NA,1,52,5.5,1.676318196,snorkel downstream,observer,0,0,0,0,2,0,0,adult rainbow,9042
9/19/2017,206,Clear Creek,221,control,11:00:00,NA,1,58,10,3.047851265,snorkel downstream,observer,161,1,0,0,40,0,1518,1100 HH 340 SS 28 TSS 50 PM,9042
9/19/2017,207,Shea Island,683,baseline,12:05:00,NA,1,54,5.5,1.676318196,snorkel downstream,observer,0,1,0,0,5,0,6,1 SS 5 HH 1 adult trout,9042
9/20/2017,216,Mainstem South,473,control,10:50:00,NA,2,54.2,8,2.438281012,snorkel downstream,observer,0,0,0,0,2,0,155,"100 HH, 40 SS, 15TSB",10118
9/20/2017,211,Rio Vista,370,impact,9:40:00,NA,2,54.7,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,104,"100HH, 3 SS, 1TSB mort",10118
9/21/2017,201,North Cypress,590,impact,10:45:00,NA,1,53,5,1.523925632,snorkel downstream,observer,1,21,0,0,20,0,0,NA,9029
9/21/2017,210,Painters,290,impact,10:15:00,NA,1,52,6,1.828710759,snorkel downstream,observer,0,0,0,0,53,0,0,NA,9029
9/21/2017,208,Wyndham,458,control,11:40:00,NA,1,54,5,1.523925632,snorkel downstream,observer,0,4,0,0,23,0,0,NA,9029
10/2/2017,201,North Cypress,590,impact,10:40:00,NA,1,49.8,8,2.438281012,snorkel downstream,observer,0,2,0,0,62,0,0,NA,8073
10/2/2017,210,Painters,290,impact,10:00:00,NA,1,50.3,12,3.657421518,snorkel downstream,observer,0,10,0,0,100,0,0,NA,8073
10/2/2017,208,Wyndham,458,control,12:00:00,NA,1,51.3,12,3.657421518,snorkel downstream,observer,0,0,0,0,76,0,1,1tss,8073
10/3/2017,205,Lake California,1623,baseline,10:15:00,NA,1,58,5,1.523925632,snorkel downstream,observer,0,0,0,0,22,0,4,"2 PM, 2 SS",9190
10/3/2017,214,Mainstem North,301,control,12:30:00,NA,1,57,8,2.438281012,snorkel downstream,observer,0,0,0,0,9,0,0,NA,9190
10/4/2017,204,Bourbon,301,control,11:40:00,NA,1,51,12,3.657421518,snorkel downstream,observer,0,1,0,0,1,0,1,1 Sculpin mort,7924
10/4/2017,206,Clear Creek,221,control,10:40:00,NA,1,51,12,3.657421518,snorkel downstream,observer,47,16,0,0,5,0,1283,"80 SS, 1200 HH, 2TSB, 1TP",7924
10/4/2017,207,Shea Island,683,baseline,9:25:00,NA,1,51,9,2.743066138,snorkel downstream,observer,0,3,0,0,49,0,1,"1 TSB, 2 FR adults",7924
10/5/2017,216,Mainstem South,473,control,11:30:00,NA,1,55,3,0.914355379,snorkel downstream,observer,0,0,0,0,0,0,0,low visibility along banks due to silt,9086
10/5/2017,211,Rio Vista,370,impact,9:40:00,NA,1,54,4.5,1.371533069,snorkel downstream,observer,0,0,0,0,5,0,21,"20 SS, 1 PM",9086
10/16/2017,205,Lake California,1623,baseline,11:00:00,NA,1,51,12,3.657421518,snorkel downstream,observer,0,0,0,0,13,0,757,"701 SS, 56 HH",8424
10/16/2017,214,Mainstem North,301,control,12:55:00,NA,1,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,12,0,0,NA,8424
10/17/2017,204,Bourbon,301,control,9:55:00,1,1,51,10,3.047851265,snorkel downstream,observer,0,0,0,0,69,0,0,NA,8026
10/17/2017,206,Clear Creek,221,control,10:45:00,0.92,1,52,10,3.047851265,snorkel downstream,observer,1,0,0,0,0,0,524,"250 HH, 270 PM, 1 TP, 1 TSS, 1 SS, 1 Sculpin",8026
10/17/2017,210,Painters,290,impact,13:05:00,NA,1,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,182,0,0,NA,8026
10/17/2017,207,Shea Island,683,baseline,11:45:00,NA,1,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,7,0,8,8:00 PM,8026
10/18/2017,216,Mainstem South,473,control,10:55:00,NA,1,53,8,2.438281012,snorkel downstream,observer,0,68,0,0,0,0,135,"100 HH, 35 SS",8444
10/18/2017,211,Rio Vista,370,impact,9:20:00,NA,1,52,9,2.743066138,snorkel downstream,observer,0,2,0,0,0,0,53,"40 SS, 13 HH, WR had fungus on tail",8444
10/19/2017,201,North Cypress,590,impact,11:25:00,NA,2,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,57,0,0,"bottom of cypress, silt= bad vis",8019
10/19/2017,201,North Cypress,590,impact,12:10:00,NA,2,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,110,0,0,top of cypress,8019
10/19/2017,208,Wyndham,458,control,10:00:00,10,2,52,10,3.047851265,snorkel downstream,observer,0,19,0,0,111,0,0,Possible FR Redds,8019
10/30/2017,205,Lake California,1623,baseline,10:00:00,NA,1,52,9,2.743066138,snorkel downstream,observer,0,0,0,0,7,0,196,"35 HH, 61 SS, 100TSS",8708
10/30/2017,214,Mainstem North,301,control,11:25:00,NA,1,52,8,2.438281012,snorkel downstream,observer,0,0,0,0,9,0,0,NA,8708
10/31/2017,201,North Cypress,590,impact,11:30:00,NA,1,53,10,3.047851265,snorkel downstream,observer,40,563,0,0,98,0,3,"2 Adult trout, 3 TSS",8161
10/31/2017,210,Painters,290,impact,10:40:00,NA,1,53,10,3.047851265,snorkel downstream,observer,41,21,0,0,229,0,0,NA,8161
10/31/2017,208,Wyndham,458,control,13:00:00,11,1,53,10,3.047851265,snorkel downstream,observer,10,147,0,0,66,0,20,"3 Adult FR, 3 REDDS, 20 TSS",8161
11/1/2017,216,Mainstem South,473,control,11:19:00,NA,1,53,8,2.438281012,snorkel downstream,observer,0,0,0,0,13,0,225,"160 HH, 60 SS, 5 TSS",8732
11/1/2017,211,Rio Vista,370,impact,9:50:00,NA,1,52,9,2.743066138,snorkel downstream,observer,0,0,0,0,1,0,78,"25 SS, 50 HH, 3 TSS",8732
11/2/2017,204,Bourbon,301,control,11:00:00,13,3,52,10,3.047851265,snorkel downstream,observer,0,0,0,0,33,0,0,NA,8075
11/2/2017,206,Clear Creek,221,control,12:00:00,NA,3,53,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,332,"282 PM, 50 HH, 1 Adult Trout",8075
