date,site_number,site_name,length,treatment,time,water_elevation,weather,water_temp,visibility_feet,visibility_meters,survey_method,video_or_observer,lfr_count,wr_count,sr_count,fr_count,trout_count,adult_predator_fish,other_juvenile_fish,comments,calculated_flow
2016-03-02,206,Clear Creek,221,control,13:35:00,NA,1,9.444444444444443,10,3.047851265,snorkel downstream,observer,0,0,0,58,40,0,271,"40 roach, 230 hard head, 1 sunfish",3260
2016-04-12,204,Bourbon,301,control,12:50:00,NA,4,11.11111111111111,7,2.133495885,snorkel downstream,observer,10,0,0,429,100,0,0,NA,5070
2016-04-12,206,Clear Creek,221,control,11:20:00,NA,4,13.33333333333333,10,3.047851265,snorkel downstream,observer,0,0,0,230,55,0,470,"240 PM, 230 HH",5100
2016-04-12,208,Wyndham,458,control,10:00:00,NA,4,11.11111111111111,7,2.133495885,snorkel downstream,observer,81,0,0,11,69,0,25,25 TSS,5040
2016-04-21,204,Bourbon,301,control,14:00:00,NA,2,15,6,1.828710759,snorkel downstream,observer,0,0,0,445,53,0,0,NA,5040
2016-04-21,208,Wyndham,458,control,12:50:00,NA,2,14.444444444444445,6,1.828710759,snorkel downstream,observer,0,0,0,20,20,0,4,4 Three spine stickleback,5040
2016-04-25,204,Bourbon,301,control,10:45:00,NA,1,12.777777777777777,5,1.523925632,snorkel downstream,observer,55,0,0,290,35,0,7,"7 TSS,",5040
2016-04-25,206,Clear Creek,221,control,12:00:00,NA,1,13.33333333333333,10,3.047851265,snorkel downstream,observer,0,0,0,77,160,0,702,"700 Hardhead, 2 Sac Suckers,",5030
2016-04-25,208,Wyndham,458,control,13:20:00,NA,1,13.888888888888886,7,2.133495885,snorkel downstream,observer,0,0,0,30,309,0,6,"1 Cal. Roach, 5 TSS",5040
2016-05-03,204,Bourbon,301,control,13:15:00,NA,2,14.444444444444445,6,1.828710759,snorkel downstream,observer,0,0,0,260,69,1,1,"1 adult pikeminnow, 1 sac sucker",5550
2016-05-03,206,Clear Creek,221,control,12:35:00,NA,2,14.444444444444445,10,3.047851265,snorkel downstream,observer,0,0,0,125,627,0,1569,"1063 HH, 1 sculpin 503 sac suckers, 2 sunfish,",5530
2016-05-03,208,Wyndham,458,control,10:05:00,NA,2,13.33333333333333,6,1.828710759,snorkel downstream,observer,0,0,0,0,140,0,0,NA,5530
2016-05-11,206,Clear Creek,221,control,13:20:00,NA,1,15,5,1.523925632,snorkel downstream,observer,48,0,0,240,102,0,0,NA,6530
2016-05-11,207,Shea Island,683,baseline,09:20:00,NA,1,15.555555555555555,2.5,0.761962816,snorkel downstream,observer,0,0,0,0,0,0,510,"500 SMALL MINNOWS, 10 SS",6560
2016-05-12,206,Clear Creek,221,control,13:45:00,NA,1,15,10,3.047851265,snorkel downstream,observer,0,0,0,0,338,0,1012,"410 PM, 320 HH, 4 TSS, 260 SS, 18 TP",6560
2016-05-12,208,Wyndham,458,control,11:25:00,NA,1,14.444444444444445,5,1.523925632,snorkel downstream,observer,0,0,0,0,269,0,1,1TSS,6530
2016-06-08,204,Bourbon,301,control,13:50:00,NA,2,14.444444444444445,6,1.828710759,snorkel downstream,observer,475,0,0,840,98,0,2,2 TSS,8050
2016-06-14,206,Clear Creek,221,control,10:10:00,NA,2,16.11111111111111,10,3.047851265,snorkel downstream,observer,1,0,0,68,74,0,1659,"9 TSS, 1600 HH, 50 SS",8790
2016-06-14,208,Wyndham,458,control,11:45:00,NA,2,12.777777777777777,5,1.523925632,snorkel downstream,observer,0,0,0,0,39,0,0,NA,8080
2016-06-29,204,Bourbon,301,control,09:55:00,NA,1,11.666666666666666,3.5,1.066747943,snorkel downstream,observer,0,0,0,0,150,0,0,NA,9010
2016-06-29,206,Clear Creek,221,control,11:00:00,NA,1,15.555555555555555,6,1.828710759,snorkel downstream,observer,0,0,0,8,300,0,5525,"4000 HARDHE, 1500 SACSUC, 25 THSPST",9020
2016-07-13,205,Lake California,1623,baseline,10:00:00,NA,1,12.777777777777777,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,155,"65 PM, 90 SS",10500
2016-07-21,207,Shea Island,683,baseline,10:00:00,NA,1,13.33333333333333,5,1.523925632,snorkel downstream,observer,7,0,0,0,10,0,200,"100 HH, 100 SS",10517
2016-07-28,204,Bourbon,301,control,11:15:00,NA,1,12.222222222222221,5.5,1.676318196,snorkel downstream,observer,0,0,0,0,84,0,0,NA,10554
2016-07-28,206,Clear Creek,221,control,12:50:00,NA,1,20,10,3.047851265,snorkel downstream,observer,11,0,0,0,111,27,3278,"1800 HH, 770 SS, 3 TP, 705 PM 27 AdultPM/HH",10554
2016-07-28,208,Wyndham,458,control,10:00:00,NA,1,11.666666666666666,6,1.828710759,snorkel downstream,observer,0,0,0,0,414,0,2,2 TSS,10554
2016-08-12,217,Reading Island,3526,impact,09:00:00,NA,1,21.11111111111111,2,0.609570253,snorkel downstream,observer,0,0,0,0,0,2,0,"2 LarBass, Kayak survey",10558
2016-08-15,204,Bourbon,301,control,10:45:00,NA,1,11.666666666666666,5,1.523925632,snorkel downstream,observer,5,0,0,0,50,0,1,1 TSS,10530
2016-08-15,206,Clear Creek,221,control,11:50:00,NA,1,16.666666666666668,8,2.438281012,snorkel downstream,observer,0,0,0,25,65,0,2002,"1000 HH, 1000 SS 2 TSS",10530
2016-08-16,213,Kutras Lake,NA,baseline,11:25:00,NA,1,12.777777777777777,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,0,NA,10483
2016-08-16,208,Wyndham,458,control,10:00:00,NA,1,11.666666666666666,6,1.828710759,snorkel downstream,observer,0,0,0,0,64,0,0,visibility in pool very poor,10483
2016-08-17,209,Anderson River Park,325,impact,09:45:00,NA,1,20.555555555555557,4,1.219140506,snorkel downstream,video,0,0,0,0,0,0,0,Kayak survey too much vegetation 82 Bass,10521
2016-08-23,204,Bourbon,301,control,12:20:00,NA,1,12.222222222222221,7,2.133495885,snorkel downstream,observer,17,0,0,0,24,0,0,NA,10513
2016-08-23,206,Clear Creek,221,control,12:00:00,NA,1,17.77777777777778,10,3.047851265,snorkel downstream,observer,10,0,0,0,9,0,994,900 HH 80 SS 14 PM,10513
2016-08-23,215,Cow Creek,467,impact,11:00:00,NA,1,12.777777777777777,8,2.438281012,snorkel downstream,observer,2,0,0,4,10,0,100,100 PM Potential impact site,10513
2016-08-24,213,Kutras Lake,NA,baseline,11:00:00,NA,1,11.666666666666666,8,2.438281012,snorkel downstream,observer,0,0,0,0,99,0,0,NA,10492
2016-08-25,205,Lake California,1623,baseline,10:00:00,NA,1,12.777777777777777,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,300,"200 PM, 100 SS",10400
2016-09-01,213,Kutras Lake,NA,baseline,11:15:00,NA,1,12.222222222222221,8,2.438281012,snorkel downstream,observer,0,0,0,0,20,0,0,NA,10039
2016-09-08,204,Bourbon,301,control,13:55:00,NA,1,12.777777777777777,8,2.438281012,snorkel downstream,observer,18,1,0,0,35,0,0,NA,9546
2016-09-08,206,Clear Creek,221,control,13:05:00,NA,1,17.77777777777778,10,3.047851265,snorkel downstream,observer,17,0,0,0,18,0,1069,"730 HH, 192 SS, 132 PM, 15 tule P.",9546
2016-09-08,208,Wyndham,458,control,11:40:00,NA,1,12.222222222222221,8,2.438281012,snorkel downstream,observer,1,0,0,0,37,0,0,NA,9546
2016-09-15,204,Bourbon,301,control,13:00:00,NA,1,12.777777777777777,10,3.047851265,snorkel downstream,observer,0,1,0,65,188,1,5,"1 adult PM, 5 HH",9041
2016-09-15,206,Clear Creek,221,control,13:50:00,NA,1,15.555555555555555,10,3.047851265,snorkel downstream,observer,47,0,0,21,20,0,1340,"685 HH, 500 PM, 150 SS, 5 Tule P.",9041
2016-09-15,208,Wyndham,458,control,10:15:00,NA,1,12.222222222222221,8,2.438281012,snorkel downstream,observer,2,0,0,0,90,0,0,NA,9041
2016-09-22,205,Lake California,1623,baseline,10:00:00,NA,1,11.666666666666666,7,2.133495885,snorkel downstream,observer,1,0,0,0,8,0,85,"81 PM, 4 SS",8415
2016-09-22,211,Rio Vista,370,impact,13:00:00,NA,1,13.888888888888886,5,1.523925632,snorkel downstream,observer,0,0,0,0,0,0,62,"55 HH, 1 SS, 6 TSS",8415
2016-09-27,204,Bourbon,301,control,12:00:00,NA,1,11.11111111111111,10,3.047851265,snorkel downstream,observer,82,2,0,1,40,10,0,10 adult RT,7975
2016-09-27,206,Clear Creek,221,control,13:20:00,NA,1,12.222222222222221,10,3.047851265,snorkel downstream,observer,0,0,0,10,14,0,856,"545 HH, 264 PM, 32 SS, 10 TSS, 5 Tule P.",7975
2016-09-27,208,Wyndham,458,control,10:30:00,NA,1,11.11111111111111,10,3.047851265,snorkel downstream,observer,1,2,0,0,114,0,0,NA,7975
2016-10-11,204,Bourbon,301,control,11:20:00,NA,1,12.222222222222221,10,3.047851265,snorkel downstream,observer,0,8,0,115,116,0,0,1 adult female FR salmon,7012
2016-10-11,206,Clear Creek,221,control,12:15:00,NA,1,14.444444444444445,10,3.047851265,snorkel downstream,observer,0,1,0,20,0,0,137,"100PM, 2 SS, 30 HH, 5 Tule P.",7012
2016-10-11,208,Wyndham,458,control,10:00:00,NA,1,11.11111111111111,8,2.438281012,snorkel downstream,observer,0,31,0,0,53,0,0,NA,7012
2016-10-27,204,Bourbon,301,control,12:00:00,NA,4,11.666666666666666,6,1.828710759,snorkel downstream,observer,1,0,0,45,86,0,0,1 adult trout,5535
2016-10-27,206,Clear Creek,221,control,12:45:00,NA,4,14.444444444444445,2.5,0.761962816,snorkel downstream,observer,0,0,0,0,1,0,9,"6 PM, 2 TSS, 1 SS",5535
2016-10-27,208,Wyndham,458,control,10:35:00,NA,4,11.666666666666666,10,3.047851265,snorkel downstream,observer,2,0,0,0,56,0,0,"2 adult trout, 2 adult FR salmon",5535
2016-11-15,213,Kutras Lake,NA,baseline,12:20:00,NA,3,11.666666666666666,8,2.438281012,snorkel downstream,observer,0,0,0,0,1,0,0,NA,5003
2016-11-15,210,Painters,290,impact,13:05:00,NA,3,11.666666666666666,8,2.438281012,snorkel downstream,observer,1,10,0,0,0,0,0,NA,5003
2016-11-17,204,Bourbon,301,control,13:06:00,NA,1,12.222222222222221,9,2.743066138,snorkel downstream,observer,0,0,0,0,87,0,0,NA,5040
2016-11-17,206,Clear Creek,221,control,12:25:00,NA,1,12.777777777777777,10,3.047851265,snorkel downstream,observer,9,1,0,0,1,0,735,"510 HH, 155 PM, 50 SS, 20 Tule P.",5040
2016-11-17,208,Wyndham,458,control,10:55:00,NA,1,12.222222222222221,9,2.743066138,snorkel downstream,observer,0,0,0,0,2,0,0,adult trout,5040
2016-11-29,204,Bourbon,301,control,13:30:00,NA,1,11.666666666666666,9,2.743066138,snorkel downstream,observer,1,0,0,0,62,0,0,NA,5035
2016-11-29,206,Clear Creek,221,control,12:55:00,NA,1,11.11111111111111,10,3.047851265,snorkel downstream,observer,0,0,0,0,0,0,360,"340 HH, 20 PM",5035
2016-11-29,208,Wyndham,458,control,11:20:00,NA,1,11.666666666666666,9,2.743066138,snorkel downstream,observer,0,0,0,0,5,0,2,2 TSS,5035
2016-12-20,204,Bourbon,301,control,13:40:00,NA,3,10.555555555555554,10,3.047851265,snorkel downstream,observer,1,1,0,1,19,0,0,1 adult trout,5072
2016-12-20,206,Clear Creek,221,control,13:00:00,NA,3,8.888888888888888,10,3.047851265,snorkel downstream,observer,0,0,0,20,0,0,60,60HH,5072
2016-12-20,201,North Cypress,590,impact,10:35:00,NA,2,9.999999999999998,6,1.828710759,snorkel downstream,observer,0,0,0,0,1,0,0,adult steelhead,5072
2016-12-20,208,Wyndham,458,control,12:35:00,NA,2,10.555555555555554,10,3.047851265,snorkel downstream,observer,0,2,0,0,0,0,0,NA,5072
2016-12-29,201,North Cypress,590,impact,10:30:00,NA,1,10.555555555555554,NA,#VALUE!,snorkel downstream,observer,0,0,0,2,0,0,0,NA,1025
2017-05-22,210,Painters,290,impact,12:00:00,NA,1,12.777777777777777,2,0.609570253,snorkel downstream,observer,0,0,0,0,20,0,0,NA,13017
2017-06-14,203,Kapusta,291,NA,10:45:00,NA,1,13.33333333333333,5,1.523925632,snorkel downstream,observer,0,0,0,0,0,0,500,numerous juvenile suckers,10031
2017-06-14,214,Mainstem North,301,control,10:35:00,NA,1,13.33333333333333,6,1.828710759,snorkel downstream,observer,0,0,0,2,1,0,2,2 suckers,11679
2017-06-14,207,Shea Island,683,baseline,12:15:00,NA,1,13.33333333333333,6,1.828710759,snorkel downstream,observer,0,0,0,0,1,0,33,"10 TSS, 1 PM, 22 HH",10031
2017-06-14,207,Shea Island,683,baseline,12:20:00,NA,1,13.33333333333333,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,500,juvie suckers,10031
2017-06-19,204,Bourbon,301,control,11:25:00,NA,2,11.11111111111111,5,1.523925632,snorkel downstream,observer,0,0,0,10,53,0,4,4 STB,10303
2017-06-19,204,Bourbon,301,control,10:30:00,NA,1,12.222222222222221,4,1.219140506,snorkel downstream,observer,10,0,0,4,131,0,5,"1 BASS, 2 TSS, 2PM",10303
2017-06-19,206,Clear Creek,221,control,10:40:00,NA,2,12.222222222222221,3,0.914355379,snorkel downstream,observer,0,0,0,0,45,0,26,"6 HH, 20 WESMOS",10303
2017-06-19,201,North Cypress,590,impact,13:30:00,NA,1,11.666666666666666,3,0.914355379,snorkel downstream,observer,0,0,0,5,283,0,0,Top and bottom channels combined,10303
2017-07-12,204,Bourbon,301,control,13:45:00,1.4,1,11.11111111111111,6,1.828710759,snorkel downstream,observer,0,0,0,0,100,0,0,NA,10394
2017-07-12,201,North Cypress,590,impact,10:05:00,NA,1,9.999999999999998,4.5,1.371533069,snorkel downstream,observer,0,0,0,0,165,0,0,upper half of 201,10394
2017-07-12,201,North Cypress,590,impact,11:00:00,NA,1,9.999999999999998,4.5,1.371533069,snorkel downstream,observer,10,0,0,0,265,0,0,lower half of 201,10394
2017-07-12,208,Wyndham,458,control,11:50:00,1.3,1,10.555555555555554,5,1.523925632,snorkel downstream,observer,3,0,0,0,325,0,0,NA,10394
2017-07-24,205,Lake California,1623,baseline,11:00:00,NA,1,12.777777777777777,7,2.133495885,snorkel downstream,observer,0,0,0,0,0,0,0,NA,11328
2017-07-24,214,Mainstem North,301,control,12:30:00,NA,1,12.777777777777777,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,0,NA,11328
2017-07-24,216,Mainstem South,473,control,12:00:00,NA,1,13.888888888888886,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,22,12 HH 1 SS 8 SB 1 PM,11328
2017-07-24,211,Rio Vista,370,impact,10:30:00,NA,1,13.33333333333333,7,2.133495885,snorkel downstream,observer,0,0,0,0,0,0,432,291 TSS 61 HH 70 SS 10 TP,11328
2017-07-25,204,Bourbon,301,control,09:45:00,1.4,1,11.11111111111111,5,1.523925632,snorkel downstream,observer,0,0,0,0,120,0,0,NA,10666
2017-07-25,206,Clear Creek,221,control,09:45:00,1.2,1,16.11111111111111,10,3.047851265,snorkel downstream,observer,153,0,0,0,133,0,780,"500 HH, 100 PM, 110 SS, 30 TP, 40 TSS",10666
2017-07-25,201,North Cypress,590,impact,13:42:00,NA,1,12.222222222222221,7,2.133495885,snorkel downstream,observer,15,0,0,0,525,0,4,4 TSS,10666
2017-07-25,210,Painters,290,impact,11:10:00,NA,1,11.11111111111111,7,2.133495885,snorkel downstream,observer,0,0,0,0,900,0,0,NA,10666
2017-07-25,208,Wyndham,458,control,12:15:00,1.5,1,11.666666666666666,7,2.133495885,snorkel downstream,observer,0,0,0,0,530,0,2,2 TSS,10666
2017-08-02,207,Shea Island,683,baseline,10:40:00,NA,1,11.666666666666666,5,1.523925632,snorkel downstream,observer,0,0,0,0,575,0,0,NA,10666
2017-08-07,205,Lake California,1623,baseline,10:15:00,NA,1,12.777777777777777,5,1.523925632,snorkel downstream,observer,0,0,0,0,3,0,147,"140 sacsuc, 6 PM, 1 TP",11014
2017-08-07,214,Mainstem North,301,control,11:50:00,NA,1,12.777777777777777,10,3.047851265,snorkel downstream,observer,0,0,0,0,3,0,0,NA,11014
2017-08-07,216,Mainstem South,473,control,13:50:00,NA,1,13.888888888888886,8,2.438281012,snorkel downstream,observer,0,0,0,0,1,0,82,"1 STB, 3 TP, 24 SP, 53 SS, 1 rifscu",11014
2017-08-07,211,Rio Vista,370,impact,13:00:00,NA,1,15,4,1.219140506,snorkel downstream,observer,0,0,0,0,0,0,0,NA,11014
2017-08-09,201,North Cypress,590,impact,10:50:00,NA,1,11.666666666666666,8,2.438281012,snorkel downstream,observer,0,0,0,0,439,0,102,"2 TSS, 100 Sacsuc",10313
2017-08-09,210,Painters,290,impact,10:10:00,NA,1,11.666666666666666,8,2.438281012,snorkel downstream,observer,0,0,0,0,515,0,0,NA,10313
2017-08-09,208,Wyndham,458,control,12:40:00,15,1,12.222222222222221,8,2.438281012,snorkel downstream,observer,0,0,0,0,355,0,50,50 TSS,10313
2017-08-10,204,Bourbon,301,control,13:05:00,15,1,12.222222222222221,7.5,2.285888449,snorkel downstream,observer,0,0,0,0,79,0,0,1 adult RT,10509
2017-08-10,206,Clear Creek,221,control,11:45:00,14,1,18.88888888888889,10,3.047851265,snorkel downstream,observer,179,0,0,3,67,0,1087,"536 HH, 166 SS, 315 PM, 70 TP",10509
2017-08-10,207,Shea Island,683,baseline,10:30:00,NA,1,12.222222222222221,7.5,2.285888449,snorkel downstream,observer,31,0,0,0,257,0,102,"1 adult RT, 32 PM, 70 TSS",10509
2017-08-21,205,Lake California,1623,baseline,10:20:00,NA,2,12.777777777777777,9,2.743066138,snorkel downstream,observer,0,0,0,0,6,0,0,NA,11057
2017-08-21,214,Mainstem North,301,control,12:40:00,NA,1,12.222222222222221,9,2.743066138,snorkel downstream,observer,0,0,0,0,2,0,240,240 Sac Suckers,11057
2017-08-22,201,North Cypress,590,impact,10:30:00,NA,1,12.222222222222221,7,2.133495885,snorkel downstream,observer,0,0,0,0,234,0,3,3 TSS,10466
2017-08-22,210,Painters,290,impact,10:00:00,NA,1,12.222222222222221,7,2.133495885,snorkel downstream,observer,0,0,0,0,209,0,0,NA,10466
2017-08-22,208,Wyndham,458,control,12:45:00,15,1,12.222222222222221,7,2.133495885,snorkel downstream,observer,0,0,0,0,76,0,0,NA,10466
2017-08-23,216,Mainstem South,473,control,10:55:00,NA,1,13.33333333333333,9.5,2.895458702,snorkel downstream,observer,0,0,0,0,0,0,35,"24 HH, 9SS, 2 TSS",11199
2017-08-23,211,Rio Vista,370,impact,09:30:00,NA,1,13.33333333333333,7,2.133495885,snorkel downstream,observer,0,0,0,0,3,0,125,"97 HH, 27 TSS, 1 SS",11199
2017-08-24,204,Bourbon,301,control,13:00:00,NA,1,12.777777777777777,5,1.523925632,snorkel downstream,observer,5,0,0,0,59,0,0,NA,10644
2017-08-24,206,Clear Creek,221,control,11:35:00,NA,1,17.22222222222222,10,3.047851265,snorkel downstream,observer,408,0,0,0,39,0,1700,"500HH, 200SS, 300TP, 700PM",10644
2017-08-24,207,Shea Island,683,baseline,10:20:00,NA,1,11.666666666666666,5,1.523925632,snorkel downstream,observer,0,0,0,0,182,0,0,NA,10644
2017-09-05,204,Bourbon,301,control,10:00:00,14,1,11.666666666666666,8,2.438281012,snorkel downstream,observer,0,0,0,0,45,0,0,NA,9114
2017-09-05,206,Clear Creek,221,control,10:50:00,NA,1,16.666666666666668,10,3.047851265,snorkel downstream,observer,185,3,0,0,160,0,908,"618HH, 88SS, 197PM, 5TP",9114
2017-09-05,207,Shea Island,683,baseline,12:00:00,NA,1,12.222222222222221,6,1.828710759,snorkel downstream,observer,0,0,0,0,0,0,42,"30HH, 12SS",9114
2017-09-06,205,Lake California,1623,baseline,09:45:00,NA,2,12.611111111111112,5,1.523925632,snorkel downstream,observer,0,0,0,0,6,0,0,NA,10107
2017-09-06,214,Mainstem North,301,control,12:15:00,NA,2,12.277777777777779,7,2.133495885,snorkel downstream,observer,0,0,0,0,0,0,0,NA,10107
2017-09-06,216,Mainstem South,473,control,14:06:00,NA,2,14.499999999999998,8,2.438281012,snorkel downstream,observer,0,0,0,0,5,0,0,NA,10107
2017-09-07,201,North Cypress,590,impact,10:20:00,NA,3,11.666666666666666,3,0.914355379,snorkel downstream,observer,0,0,0,0,19,0,0,NA,9131
2017-09-07,210,Painters,290,impact,10:15:00,NA,4,11.666666666666666,3,0.914355379,snorkel downstream,observer,0,0,0,0,22,0,0,NA,9131
2017-09-07,208,Wyndham,458,control,10:33:00,13,4,11.666666666666666,3,0.914355379,snorkel downstream,observer,0,0,0,0,6,0,0,NA,9131
2017-09-18,205,Lake California,1623,baseline,11:00:00,NA,3,11.166666666666666,9,2.743066138,snorkel downstream,observer,0,0,0,0,1,0,0,NA,10067
2017-09-18,214,Mainstem North,301,control,12:20:00,NA,2,11.33333333333333,9,2.743066138,snorkel downstream,observer,0,0,0,0,0,0,0,NA,10067
2017-09-19,204,Bourbon,301,control,10:10:00,NA,1,11.11111111111111,5.5,1.676318196,snorkel downstream,observer,0,0,0,0,2,0,0,adult rainbow,9042
2017-09-19,206,Clear Creek,221,control,11:00:00,NA,1,14.444444444444445,10,3.047851265,snorkel downstream,observer,161,1,0,0,40,0,1518,1100 HH 340 SS 28 TSS 50 PM,9042
2017-09-19,207,Shea Island,683,baseline,12:05:00,NA,1,12.222222222222221,5.5,1.676318196,snorkel downstream,observer,0,1,0,0,5,0,6,1 SS 5 HH 1 adult trout,9042
2017-09-20,216,Mainstem South,473,control,10:50:00,NA,2,12.333333333333334,8,2.438281012,snorkel downstream,observer,0,0,0,0,2,0,155,"100 HH, 40 SS, 15TSB",10118
2017-09-20,211,Rio Vista,370,impact,09:40:00,NA,2,12.611111111111112,8,2.438281012,snorkel downstream,observer,0,0,0,0,0,0,104,"100HH, 3 SS, 1TSB mort",10118
2017-09-21,201,North Cypress,590,impact,10:45:00,NA,1,11.666666666666666,5,1.523925632,snorkel downstream,observer,1,21,0,0,20,0,0,NA,9029
2017-09-21,210,Painters,290,impact,10:15:00,NA,1,11.11111111111111,6,1.828710759,snorkel downstream,observer,0,0,0,0,53,0,0,NA,9029
2017-09-21,208,Wyndham,458,control,11:40:00,NA,1,12.222222222222221,5,1.523925632,snorkel downstream,observer,0,4,0,0,23,0,0,NA,9029
2017-10-02,201,North Cypress,590,impact,10:40:00,NA,1,9.888888888888886,8,2.438281012,snorkel downstream,observer,0,2,0,0,62,0,0,NA,8073
2017-10-02,210,Painters,290,impact,10:00:00,NA,1,10.166666666666664,12,3.657421518,snorkel downstream,observer,0,10,0,0,100,0,0,NA,8073
2017-10-02,208,Wyndham,458,control,12:00:00,NA,1,10.72222222222222,12,3.657421518,snorkel downstream,observer,0,0,0,0,76,0,1,1tss,8073
2017-10-03,205,Lake California,1623,baseline,10:15:00,NA,1,14.444444444444445,5,1.523925632,snorkel downstream,observer,0,0,0,0,22,0,4,"2 PM, 2 SS",9190
2017-10-03,214,Mainstem North,301,control,12:30:00,NA,1,13.888888888888886,8,2.438281012,snorkel downstream,observer,0,0,0,0,9,0,0,NA,9190
2017-10-04,204,Bourbon,301,control,11:40:00,NA,1,10.555555555555554,12,3.657421518,snorkel downstream,observer,0,1,0,0,1,0,1,1 Sculpin mort,7924
2017-10-04,206,Clear Creek,221,control,10:40:00,NA,1,10.555555555555554,12,3.657421518,snorkel downstream,observer,47,16,0,0,5,0,1283,"80 SS, 1200 HH, 2TSB, 1TP",7924
2017-10-04,207,Shea Island,683,baseline,09:25:00,NA,1,10.555555555555554,9,2.743066138,snorkel downstream,observer,0,3,0,0,49,0,1,"1 TSB, 2 FR adults",7924
2017-10-05,216,Mainstem South,473,control,11:30:00,NA,1,12.777777777777777,3,0.914355379,snorkel downstream,observer,0,0,0,0,0,0,0,low visibility along banks due to silt,9086
2017-10-05,211,Rio Vista,370,impact,09:40:00,NA,1,12.222222222222221,4.5,1.371533069,snorkel downstream,observer,0,0,0,0,5,0,21,"20 SS, 1 PM",9086
2017-10-16,205,Lake California,1623,baseline,11:00:00,NA,1,10.555555555555554,12,3.657421518,snorkel downstream,observer,0,0,0,0,13,0,757,"701 SS, 56 HH",8424
2017-10-16,214,Mainstem North,301,control,12:55:00,NA,1,11.11111111111111,10,3.047851265,snorkel downstream,observer,0,0,0,0,12,0,0,NA,8424
2017-10-17,204,Bourbon,301,control,09:55:00,1,1,10.555555555555554,10,3.047851265,snorkel downstream,observer,0,0,0,0,69,0,0,NA,8026
2017-10-17,206,Clear Creek,221,control,10:45:00,0.92,1,11.11111111111111,10,3.047851265,snorkel downstream,observer,1,0,0,0,0,0,524,"250 HH, 270 PM, 1 TP, 1 TSS, 1 SS, 1 Sculpin",8026
2017-10-17,210,Painters,290,impact,13:05:00,NA,1,11.11111111111111,10,3.047851265,snorkel downstream,observer,0,0,0,0,182,0,0,NA,8026
2017-10-17,207,Shea Island,683,baseline,11:45:00,NA,1,11.11111111111111,10,3.047851265,snorkel downstream,observer,0,0,0,0,7,0,8,8 PM,8026
2017-10-18,216,Mainstem South,473,control,10:55:00,NA,1,11.666666666666666,8,2.438281012,snorkel downstream,observer,0,68,0,0,0,0,135,"100 HH, 35 SS",8444
2017-10-18,211,Rio Vista,370,impact,09:20:00,NA,1,11.11111111111111,9,2.743066138,snorkel downstream,observer,0,2,0,0,0,0,53,"40 SS, 13 HH, WR had fungus on tail",8444
